Words;Meanings;Words_trimmed;Meanings_trimmed;CN_Words_NLLB;CN_Meanings_NLLB
daartegenover;aan de andere kant, als contrast daarvan;daartegenover;aan de andere kant, als contrast daarvan;相反,;另一方面,
indrukwekkend;"iets wat indruk maakt; heel erg goed. Minder indrukwekkend = niet zo goed";indrukwekkend;"iets wat indruk maakt; heel erg goed. Minder indrukwekkend = niet zo goed";非常令人印象深刻.;非常好.不太好=不太好.
werkweken;"dagen dat er gewerkt wordt, meestal maandag tot en met vrijdag; de werkweek";werkweken;"dagen dat er gewerkt wordt, meestal maandag tot en met vrijdag; de werkweek";工作周;"工作日,通常是星期一至星期五;工作周"
gemiddelde (het);"alle getallen samen gedeeld door het aantal getallen; gemiddelden/";gemiddelde;"alle getallen samen gedeeld door het aantal getallen; gemiddelden/";平均值;"总数,由数量分解为数量;平均值/"
dagtaak (de);"functie, werk; dagtaken";dagtaak;"functie, werk; dagtaken";日常工作;"职位,工作;日常工作"
levensjaren;"jaren dat je leeft; het levensjaar";levensjaren;"jaren dat je leeft; het levensjaar";生命年龄;"你活的年份;"
vervroegd;(veel) eerder dan op 65-jarige leeftijd;vervroegd;(veel) eerder dan op 65-jarige leeftijd;提前;(很多) 在65岁之前
trend (de);"normaal, gebruikelijk; trends";trend;"normaal, gebruikelijk; trends";趋势;"常见,常见;趋势"
productief;veel producerend;productief;veel producerend;产量;许多生产者
wereldwijde;in, over de hele wereld;wereldwijde;in, over de hele wereld;全球;在全世界
dreigen te;bijna (hij dreigt te vallen = hij valt bijna);dreigen te;bijna (hij dreigt te vallen = hij valt bijna);威胁;几乎 (他几乎会跌倒 = 他几乎会跌倒)
de boot missen;te laat zijn om ergens van te profiteren;de boot missen;te laat zijn om ergens van te profiteren;错过了船;太晚了,没有什么好处.
visie (de);"gedachte, mening; visies";visie;"gedachte, mening; visies";视觉;思想,观点,视觉
winnaar (de);"degene die wint, de eerste; winnaars";winnaar;"degene die wint, de eerste; winnaars";获奖者;"谁赢得,谁是第一个;谁是赢得者"
moeten het hebben van;(zeer) nodig hebben;moeten het hebben van;(zeer) nodig hebben;必须有;需要
innovatieve;met nieuwe ideeën;innovatieve;met nieuwe ideeën;创新;带着新的想法
slimme;goed bedachte;slimme;goed bedachte;聪明;精心思考
produceren;"maken, fabriceren; produceren-produceerde-geproduceerd";produceren;maken, fabriceren;生产;制造,制造
streven naar;"willen bereiken; streven-streefde-gestreefd";streven naar;willen bereiken;追求;想要实现
intensievere;meer intensief;intensievere;meer intensief;更多;更多的
scienceparken;"kennisparken met bedrijven die samenwerken met universiteiten; het";scienceparken;"kennisparken met bedrijven die samenwerken met universiteiten; het";科技园;"知识园区与大学合作的企业;"
kennisintensieve;met veel en zeer specifieke kennis;kennisintensieve;met veel en zeer specifieke kennis;知识密集;具有丰富的,非常具体的知识
profiteren (van);"voordeel hebben van; profiteren-profiteerde-geprofiteerd";profiteren (van);voordeel hebben van;获益;获得
nabijheid (de);in de buurt zijn;nabijheid;in de buurt zijn;接近;附近的
baanbrekende;totaal nieuwe, pioniers-;baanbrekende;totaal nieuwe, pioniers-;突破性;完全新,开创性的
technologieën;"toepassingen van de wetenschap in de techniek; de technologie";technologieën;"toepassingen van de wetenschap in de techniek; de technologie";技术;"技术科学应用;技术"
chronische;langdurige;chronische;langdurige;慢性;长期
denktank (de);"organisatie van adviseurs en wetenschappers op een bepaald gebied;";denktank;"organisatie van adviseurs en wetenschappers op een bepaald gebied;";智库;"组织特定领域的顾问和科学家;"
regio (de);"gebied; regio’s";regio;"gebied; regio’s";地区;"地区;地区"
uitgeroepen (tot);"in het openbaar noemen, afkondigen; uitroepen-riep uit-uitgeroepen";uitgeroepen (tot);in het openbaar noemen, afkondigen;已宣布 (到);公开宣告,公开宣告
bedrijfsverzamelgebouwen;gebouw met verschillende bedrijven die elkaar kunnen inspireren en bepaalde;bedrijfsverzamelgebouwen;gebouw met verschillende bedrijven die elkaar kunnen inspireren en bepaalde;企业集团建筑物;建筑物与不同的企业可以互相鼓舞,
broedplaatsen;"startplaats van nieuwe ideeën of bedrijven; de broedplaats";broedplaatsen;"startplaats van nieuwe ideeën of bedrijven; de broedplaats";繁殖场;"新创意或企业的起点;产地"
startende;beginnende;startende;beginnende;开始;开始
rijp zijn voor;klaar zijn voor;rijp zijn voor;klaar zijn voor;熟成;准备好
gezegde (het);"de uitdrukking; gezegdes";gezegde;"de uitdrukking; gezegdes";语;"术语;语句"
score (de);"beoordeling, getal; scores";score;"beoordeling, getal; scores";评分;"评级,数量;分数"
toont aan;aantonen-toonde aan-aangetoond;toont aan;aantonen-toonde aan-aangetoond;显示;显示显示显示
ontevreden;niet tevreden;ontevreden;niet tevreden;不满意;不满意
verwend;spoiled/verdorben/gâté/şımarık;verwend;spoiled/verdorben/gâté/şımarık;的;子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子子
voorrechten;"privileges; het voorrecht";voorrechten;"privileges; het voorrecht";权益;权威权
AOW (de);staatspensioen voor alle Nederlanders. Algemene Ouderdoms Wet;AOW;staatspensioen voor alle Nederlanders. Algemene Ouderdoms Wet;其他类型;总年龄法
noem maar op;enzovoort;noem maar op;enzovoort;给我一个名字;其他类型
grondrechten;"basisrechten, zoals die uit de grondwet (constitutie); het grondrecht";grondrechten;"basisrechten, zoals die uit de grondwet (constitutie); het grondrecht";基本权利;"基本权利,如宪法所赋予的权利;"
onredelijke;onjuiste;onredelijke;onjuiste;没有理性;错误
eis (de);"dat wat je eist of vraagt; eisen";eis;"dat wat je eist of vraagt; eisen";要求;"要求或要求的东西;"
uitverkoop (de);alles met grote kortingen verkopen;uitverkoop;alles met grote kortingen verkopen;销售;卖出任何东西,都会得到很大的折扣.
korting (de);"voor minder geld dan normaal; kortingen";korting;"voor minder geld dan normaal; kortingen";折扣;"低于正常的金额;"
immigrante (de);"vrouwelijke immigrant; immigrantes";immigrante;"vrouwelijke immigrant; immigrantes";移民;"移民女性;移民"
knipoog (de);"wink/Zwinkern/clin d’oeil/göz kirpması; knipogen";knipoog;"wink/Zwinkern/clin d’oeil/göz kirpması; knipogen";眼;////////
inburgeringservaring (de);ervaringen tijdens het proces van inburgeren;inburgeringservaring;ervaringen tijdens het proces van inburgeren;公民身份经验;公民身份过程中的经验
allereerst;ten eerste;allereerst;ten eerste;首先,;首先,
beëindigen;"een eind maken aan; beëindigen-beëindigde-beëindigd";beëindigen;een eind maken aan;结束;结束
herschrijf;"schrijf nog een keer, corrigeer; herschrijven-herschreef-herschreven";herschrijf;schrijf nog een keer, corrigeer;写下;再一次写,纠正
onderstaande;die hieronder staat in de tekst;onderstaande;die hieronder staat in de tekst;下面;根据下文所述
verhoging (de);groter of hoger maken;verhoging;groter of hoger maken;增加;放大或放高
vergelijkbare;net zo, die daarop lijkt;vergelijkbare;net zo, die daarop lijkt;类似的;像它一样.
corruptie (de);omkoopbaarheid, voor geld illegale dingen doen;corruptie;omkoopbaarheid, voor geld illegale dingen doen;腐败;钱,做非法事
samenstellen;maken, componeren;samenstellen;maken, componeren;编译;制作,组合
achteruit;slechter;achteruit;slechter;倒退;现在更糟糕
moskee (de);"gebouw waar moslims samenkomen en diensten hebben; moskeeën";moskee;"gebouw waar moslims samenkomen en diensten hebben; moskeeën";清真寺;"穆斯林聚集和服务的建筑物;清真寺"
linkerburen;"buren aan de linkerkant; de linkerbuur";linkerburen;"buren aan de linkerkant; de linkerbuur";左边邻居;"邻居左边;邻居左边"
hindoefeest (het);feest van het hindoeïsme: religie oorspronkelijk uit India met meerdere goden;hindoefeest;feest van het hindoeïsme: religie oorspronkelijk uit India met meerdere goden;印度教节;印度教的节日:印度起源的宗教,
beweert;"zegt met nadruk; beweren-beweerde-beweerd";beweert;zegt met nadruk;声称;强调
niets voorstelt;"niet goed, niet belangrijk is; voorstellen-stelde voor-voorgesteld";niets voorstelt;niet goed, niet belangrijk is;没有任何迹象;不好,不重要
hoe zit dat?;kun je dat uitleggen?;hoe zit dat?;kun je dat uitleggen?;怎么样?;你能解释吗?
Germanen;oude bevolkingsgroepen in Nederland en andere Noordwest-Europese landen;Germanen;oude bevolkingsgroepen in Nederland en andere Noordwest-Europese landen;德国人;荷兰和其他西北欧洲国家老年人群
Romeinen;inwoners van het Romeinse Rijk, een groot rijk met Rome als hoofdstad, van;Romeinen;inwoners van het Romeinse Rijk, een groot rijk met Rome als hoofdstad, van;罗马人;罗马帝国,一个庞大的帝国,罗马是其首都,
rooms-katholieke kerk (de);vanaf ongeveer het jaar 300 de officiële christelijke godsdienst van het;rooms-katholieke kerk;vanaf ongeveer het jaar 300 de officiële christelijke godsdienst van het;罗马天主教教;约300年,
stammen;"groepen mensen met een centrale leider; de stam";stammen;"groepen mensen met een centrale leider; de stam";部落;"群体有中央领导者;部落"
Christus;voor/na Christus = voor/na het jaar 0: het jaar waarin Jezus Christus geboren;Christus;voor/na Christus = voor/na het jaar 0: het jaar waarin Jezus Christus geboren;基督;在基督之前/之后 = 在基督出生年0:
niet zo gek veel;niet heel erg veel = weinig;niet zo gek veel;niet heel erg veel = weinig;没有太多的疯狂;没有太多 = 没有太多
schriftelijke;geschreven, op papier;schriftelijke;geschreven, op papier;书面的;书面,纸上
bronnen;sources/sources/Quellen/yazılı kaynak (de bron);bronnen;sources/sources/Quellen/yazılı kaynak (de bron);资源;据报道,该公司的业务和业务都在利.
goden;"gods/dieux/Gotter/tanrılar; de god";goden;"gods/dieux/Gotter/tanrılar; de god";诸神;神/神/神/神/神/神
bezetting (de);het illegaal in bezit nemen of hebben van een gebouw of gebied;bezetting;het illegaal in bezit nemen of hebben van een gebouw of gebied;占据;非法占有或拥有建筑物或地区
sporen;"bewijzen van vroegere aanwezigheid; het spoor";sporen;"bewijzen van vroegere aanwezigheid; het spoor";痕迹;"过去存在的证据;轨道"
onjuist;niet juist, verkeerd;onjuist;niet juist, verkeerd;错误;不是正确,不正确
christendom (het);de christelijke religie, het christelijke geloof;christendom;de christelijke religie, het christelijke geloof;基督教;基督教宗教,基督教信仰
sekte (de);"groep binnen een religie met andere, niet geaccepteerde ideeën; sektes";sekte;"groep binnen een religie met andere, niet geaccepteerde ideeën; sektes";邪教;"其他宗教团体,与不同,不接受的思想;"
jodendom (het);de joodse religie;jodendom;de joodse religie;犹太教;犹太教
bisschop (de);"priester met een hoge rang; bisschoppen";bisschop;"priester met een hoge rang; bisschoppen";司教;"高等级的牧师;主教"
paus (de);"het hoofd van de rooms-katholieke kerk; pausen";paus;"het hoofd van de rooms-katholieke kerk; pausen";圣教皇;"罗马天主教教的主教;教皇"
katholicisme (het);het rooms-katholieke geloof;katholicisme;het rooms-katholieke geloof;圣诞节;罗马天主教信仰
bouwkunst (de);architectuur en het bouwen van huizen;bouwkunst;architectuur en het bouwen van huizen;建筑艺术;建筑和房屋建设
schilderkunst (de);het schilderen van schilderijen;schilderkunst;het schilderen van schilderijen;绘画;绘画
beeldhouwkunst (de);het maken van beelden, sculpturen;beeldhouwkunst;het maken van beelden, sculpturen;雕塑;制作图像,雕塑
stond in dienst van;was ondergeschikt aan, diende, werkte voor;stond in dienst van;was ondergeschikt aan, diende, werkte voor;曾在;曾经是他的下属,曾经是他的服务者,曾经是他的工作者.
sobere;eenvoudige, niet luxe;sobere;eenvoudige, niet luxe;的;简单,不奢
stijl (de);"vorm; stijlen";stijl;"vorm; stijlen";风格;"形状;风格"
kerkdiensten;"dienst in de kerk, serie rituele handelingen; de kerkdienst";kerkdiensten;"dienst in de kerk, serie rituele handelingen; de kerkdienst";教会服务;"教会服务,系列仪式活动;教会服务"
priesters;leiders in de katholieke kerk (de priester);priesters;leiders in de katholieke kerk (de priester);祭司;天主教的领导人 (牧师)
kleding (de);kleren. Let op: de kleding is mooi, de kleren zijn mooi;kleding;kleren. Let op: de kleding is mooi, de kleren zijn mooi;服装;注意:衣服很漂亮,衣服很漂亮
ceremoniële;met ceremonie, passend in de kerkdienst;ceremoniële;met ceremonie, passend in de kerkdienst;仪式;礼仪,适合教会服务
rituele;volgens de rituelen = traditionele handelingen;rituele;volgens de rituelen = traditionele handelingen;仪式;按照仪式 = 传统行为
gezongen;zingen-zong-gezongen;gezongen;zingen-zong-gezongen;唱歌;唱歌唱歌唱歌唱
kerktaal (de);de taal die tijdens de kerkdienst gesproken of gezongen wordt;kerktaal;de taal die tijdens de kerkdienst gesproken of gezongen wordt;教会语言;教会服务中所说或唱的语言
Latijn (het);taal van het Romeinse Rijk en daarna een internationale taal;Latijn;taal van het Romeinse Rijk en daarna een internationale taal;拉丁语;罗马帝国语言,然后是国际语言
versierd;"gedecoreerd, met mooie dingen; versieren-versierde-versierd";versierd;gedecoreerd, met mooie dingen;装饰;装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰,装饰等等等
scheuring (de);"splitsing, verdeeldheid na ruzie; scheuringen";scheuring;"splitsing, verdeeldheid na ruzie; scheuringen";裂;"争后的分裂;分裂"
keerde zich tegen;"verzette zich tegen, protesteerde tegen; keren-keerde-gekeerd";keerde zich tegen;verzette zich tegen, protesteerde tegen;他反过来;反对,反对
complexe;ingewikkelde, niet eenvoudige;complexe;ingewikkelde, niet eenvoudige;复杂;复杂,不简单
hiërarchie (de);"systeem van rangen en standen; hiërarchieën";hiërarchie;"systeem van rangen en standen; hiërarchieën";层次;"级别和地位体系;等级"
praktijken;"acties, gewoontes/gewoonten; de praktijk";praktijken;"acties, gewoontes/gewoonten; de praktijk";实践;"行动,习惯/习惯;实践"
afweken;"anders waren; afwijken-week af-afgeweken";afweken;anders waren;偏差;没有
scheidden zich ... af;"begonnen een andere groep; afscheiden-scheidde af-afgescheiden";scheidden zich ... af;begonnen een andere groep;离婚了.;开始了另一组
Bijbel (de);"het belangrijkste boek van het christelijk geloof; bijbels";Bijbel;"het belangrijkste boek van het christelijk geloof; bijbels";圣经;"基督教信仰的最重要书;圣经"
